event_id,scenario_id,is_attack_event,stage_id,ttp_id
BN-01-s0-0,BN-01,0,,
BN-01-s0-1,BN-01,0,,
BN-01-s0-2,BN-01,0,,
BN-01-s0-3,BN-01,0,,
BN-01-s0-4,BN-01,0,,
BN-01-s0-5,BN-01,0,,
BN-02-s0-0,BN-02,0,,
BN-02-s0-1,BN-02,0,,
BN-02-s0-2,BN-02,0,,
BN-02-s0-3,BN-02,0,,
BN-02-s0-4,BN-02,0,,
BN-02-s0-5,BN-02,0,,
BN-03-s0-0,BN-03,0,,
BN-03-s0-1,BN-03,0,,
BN-03-s0-2,BN-03,0,,
BN-03-s0-3,BN-03,0,,
BN-03-s0-4,BN-03,0,,
BN-03-s0-5,BN-03,0,,
BN-04-s0-0,BN-04,0,,
BN-04-s0-1,BN-04,0,,
BN-04-s0-2,BN-04,0,,
BN-04-s0-3,BN-04,0,,
BN-04-s0-4,BN-04,0,,
BN-04-s0-5,BN-04,0,,
BN-05-s0-0,BN-05,0,,
BN-05-s0-1,BN-05,0,,
BN-05-s0-2,BN-05,0,,
BN-05-s0-3,BN-05,0,,
BN-05-s0-4,BN-05,0,,
BN-05-s0-5,BN-05,0,,
BN-06-s0-0,BN-06,0,,
BN-06-s0-1,BN-06,0,,
BN-06-s0-2,BN-06,0,,
BN-06-s0-3,BN-06,0,,
BN-06-s0-4,BN-06,0,,
BN-06-s0-5,BN-06,0,,
BN-07-s0-0,BN-07,0,,
BN-07-s0-1,BN-07,0,,
BN-07-s0-2,BN-07,0,,
BN-07-s0-3,BN-07,0,,
BN-07-s0-4,BN-07,0,,
BN-07-s0-5,BN-07,0,,
BN-08-s0-0,BN-08,0,,
BN-08-s0-1,BN-08,0,,
BN-08-s0-2,BN-08,0,,
BN-08-s0-3,BN-08,0,,
BN-08-s0-4,BN-08,0,,
BN-08-s0-5,BN-08,0,,
BN-09-s0-0,BN-09,0,,
BN-09-s0-1,BN-09,0,,
BN-09-s0-2,BN-09,0,,
BN-09-s0-3,BN-09,0,,
BN-09-s0-4,BN-09,0,,
BN-09-s0-5,BN-09,0,,
BN-10-s0-0,BN-10,0,,
BN-10-s0-1,BN-10,0,,
BN-10-s0-2,BN-10,0,,
BN-10-s0-3,BN-10,0,,
BN-10-s0-4,BN-10,0,,
BN-10-s0-5,BN-10,0,,
EP-01-s0-0,EP-01,0,,
EP-01-s0-1,EP-01,0,,
EP-01-s0-2,EP-01,0,,
EP-01-s0-3,EP-01,0,,
EP-01-s1-0,EP-01,1,1,T1496
EP-02-s0-0,EP-02,0,,
EP-02-s0-1,EP-02,0,,
EP-02-s0-2,EP-02,0,,
EP-02-s0-3,EP-02,0,,
EP-02-s1-0,EP-02,1,1,T1537
EP-03-s0-0,EP-03,0,,
EP-03-s0-1,EP-03,0,,
