event_id,scenario_id,category,source,event_time,event_name,raw_json
BN-01-s0-0,BN-01,benign,CloudTrail,2026-01-01T00:00:00+00:00,ConsoleLogin,"{""eventName"": ""ConsoleLogin"", ""result"": ""Success"", ""sourceIPAddress"": ""10.0.0.2"", ""userIdentity"": ""alice""}"
BN-01-s0-1,BN-01,benign,S3,2026-01-01T00:00:07+00:00,GetObject,"{""bucket"": ""app-assets"", ""http_status"": 200, ""key"": ""logo.png"", ""operation"": ""GetObject""}"
BN-01-s0-2,BN-01,benign,CloudTrail,2026-01-01T00:00:14+00:00,DescribeInstances,"{""eventName"": ""DescribeInstances"", ""userIdentity"": ""ops""}"
BN-01-s0-3,BN-01,benign,EC2,2026-01-01T00:00:21+00:00,DescribeVolumes,"{""eventName"": ""DescribeVolumes"", ""userIdentity"": ""ops""}"
BN-01-s0-4,BN-01,benign,CloudTrail,2026-01-01T00:00:28+00:00,ListBuckets,"{""eventName"": ""ListBuckets"", ""userIdentity"": ""backup-job""}"
BN-01-s0-5,BN-01,benign,VPC,2026-01-01T00:00:35+00:00,ACCEPT,"{""action"": ""ACCEPT"", ""bytes"": 5000, ""dstaddr"": ""10.0.0.9"", ""dstport"": 443, ""protocol"": ""tcp"", ""srcaddr"": ""10.0.0.3""}"
BN-02-s0-0,BN-02,benign,CloudTrail,2026-01-01T00:00:00+00:00,ConsoleLogin,"{""eventName"": ""ConsoleLogin"", ""result"": ""Success"", ""sourceIPAddress"": ""10.0.0.2"", ""userIdentity"": ""alice""}"
BN-02-s0-1,BN-02,benign,S3,2026-01-01T00:00:07+00:00,GetObject,"{""bucket"": ""app-assets"", ""http_status"": 200, ""key"": ""logo.png"", ""operation"": ""GetObject""}"
BN-02-s0-2,BN-02,benign,CloudTrail,2026-01-01T00:00:14+00:00,DescribeInstances,"{""eventName"": ""DescribeInstances"", ""userIdentity"": ""ops""}"
BN-02-s0-3,BN-02,benign,EC2,2026-01-01T00:00:21+00:00,DescribeVolumes,"{""eventName"": ""DescribeVolumes"", ""userIdentity"": ""ops""}"
BN-02-s0-4,BN-02,benign,CloudTrail,2026-01-01T00:00:28+00:00,ListBuckets,"{""eventName"": ""ListBuckets"", ""userIdentity"": ""backup-job""}"
BN-02-s0-5,BN-02,benign,VPC,2026-01-01T00:00:35+00:00,ACCEPT,"{""action"": ""ACCEPT"", ""bytes"": 5000, ""dstaddr"": ""10.0.0.9"", ""dstport"": 443, ""protocol"": ""tcp"", ""srcaddr"": ""10.0.0.3""}"
