scenario_id,category,stage_id,ttp_id,ttp_name,telemetry_source,evidence_event_ids,ts_start,ts_end
EP-01,ephemeral,1,T1496,Resource Hijacking,EC2,EP-01-s1-0,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
EP-02,ephemeral,1,T1537,Transfer Data to Cloud Account,VPC,EP-02-s1-0,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
EP-03,ephemeral,1,T1548.005,Abuse Elevation Control Mechanism: Temporary Elevated Cloud Access,CloudTrail,EP-03-s1-0,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
EP-04,ephemeral,1,T1496,Resource Hijacking,EC2,EP-04-s1-0,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
EP-05,ephemeral,1,T1526,Cloud Service Discovery,CloudTrail,EP-05-s1-0;EP-05-s1-1,2026-01-01T00:00:00+00:00,2026-01-01T00:00:01+00:00
EP-06,ephemeral,1,T1046,Network Service Discovery,VPC,EP-06-s1-0;EP-06-s1-1;EP-06-s1-2;EP-06-s1-3;EP-06-s1-4;EP-06-s1-5;EP-06-s1-6;EP-06-s1-7;EP-06-s1-8;EP-06-s1-9;EP-06-s1-10;EP-06-s1-11;EP-06-s1-12;EP-06-s1-13;EP-06-s1-14;EP-06-s1-15;EP-06-s1-16;EP-06-s1-17;EP-06-s1-18;EP-06-s1-19;EP-06-s1-20;EP-06-s1-21;EP-06-s1-22;EP-06-s1-23;EP-06-s1-24,2026-01-01T00:00:00+00:00,2026-01-01T00:00:24+00:00
EP-07,ephemeral,1,T1528,Steal Application Access Token,CloudTrail,EP-07-s1-0,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
EP-08,ephemeral,1,T1578,Modify Cloud Compute Infrastructure,CloudTrail,EP-08-s1-0,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
EP-09,ephemeral,1,T1098.001,Account Manipulation: Additional Cloud Credentials,CloudTrail,EP-09-s1-0,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
EP-10,ephemeral,1,T1571,Non-Standard Port,VPC,EP-10-s1-0;EP-10-s1-1;EP-10-s1-2;EP-10-s1-3,2026-01-01T00:00:00+00:00,2026-01-01T00:00:03+00:00
KC-01,multi_stage_kill_chain,1,T1078.004,Valid Accounts: Cloud Accounts,CloudTrail,KC-01-s1-0,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
KC-01,multi_stage_kill_chain,2,T1098.001,Account Manipulation: Additional Cloud Credentials,CloudTrail,KC-01-s2-0,2026-01-01T00:01:00+00:00,2026-01-01T00:01:00+00:00
KC-01,multi_stage_kill_chain,3,T1530,Data from Cloud Storage Object,S3,KC-01-s3-0;KC-01-s3-1;KC-01-s3-2;KC-01-s3-3;KC-01-s3-4;KC-01-s3-5,2026-01-01T00:02:00+00:00,2026-01-01T00:02:05+00:00
KC-01,multi_stage_kill_chain,4,T1537,Transfer Data to Cloud Account,VPC,KC-01-s4-0,2026-01-01T00:03:00+00:00,2026-01-01T00:03:00+00:00
KC-02,multi_stage_kill_chain,1,T1552.005,Unsecured Credentials: Cloud Instance Metadata API,CloudTrail,KC-02-s1-0,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
KC-02,multi_stage_kill_chain,2,T1580,Cloud Infrastructure Discovery,CloudTrail,KC-02-s2-0;KC-02-s2-1,2026-01-01T00:01:00+00:00,2026-01-01T00:01:01+00:00
