arm,category,n_scenarios,event_recall,event_precision
A1,benign,10,,0.0
A1,ephemeral,10,0.9333,0.4043
A1,low_and_slow,12,0.9167,0.4478
A1,multi_stage_kill_chain,15,0.8944,0.8146
A1,single_domain,12,0.8333,0.5011
A2,benign,10,,0.0
A2,ephemeral,10,0.8667,0.4889
A2,low_and_slow,12,0.9325,0.6458
A2,multi_stage_kill_chain,15,0.7624,0.9519
A2,single_domain,12,0.8889,0.6319
A3,benign,10,,0.0
A3,ephemeral,10,0.892,0.4917
A3,low_and_slow,12,0.9881,0.6481
A3,multi_stage_kill_chain,15,0.8161,1.0
A3,single_domain,12,0.9656,0.6208
A4,benign,10,,0.0
A4,ephemeral,10,1.0,0.3614
A4,low_and_slow,12,1.0,0.374
A4,multi_stage_kill_chain,15,0.9667,0.6492
A4,single_domain,12,1.0,0.4521
