arm,category,n_scenarios,recall,precision,f1,token_cost,latency_ms,prefilter_in,prefilter_out,prefilter_recall,filtering_ratio
A1,benign,10,1.0,0.0,0.0,810.8,6579.9333,6,3,1.0,0.5
A1,ephemeral,10,0.1667,0.0556,0.0833,1365.8333,10502.8667,7.8,5.8,1.0,0.7436
A1,low_and_slow,12,0.25,0.0972,0.1389,1026.4445,8112.25,6.3333,4.3333,1.0,0.6842
A1,multi_stage_kill_chain,15,0.1093,0.1022,0.1049,1620.8222,11946.5556,11.2,9.1333,0.9667,0.8155
A1,single_domain,12,0.1667,0.0694,0.0972,1338.2778,9832.9444,8.75,6.75,1.0,0.7714
A2,benign,10,1.0,0.0,0.0,527,3651.3,6,3,1.0,0.5
A2,ephemeral,10,0.1,0.1111,0.0611,951.4,6385.2,7.8,5.8,1.0,0.7436
A2,low_and_slow,12,0.2222,0.1667,0.162,696.75,4745.25,6.3333,4.3333,1.0,0.6842
A2,multi_stage_kill_chain,15,0.0833,0.1074,0.0841,1142.6889,6603.5333,11.2,9.1333,0.9667,0.8155
A2,single_domain,12,0.1944,0.1435,0.1574,1015.3056,6603.5556,8.75,6.75,1.0,0.7714
A3,benign,10,1.0,0.1333,0.1333,785.6333,3566.6667,6,6,1.0,1.0
A3,ephemeral,10,0.1,0.0306,0.0467,1119.8,6862.0,7.8,7.8,1.0,1.0
A3,low_and_slow,12,0.25,0.1667,0.1885,860.5833,5073.4167,6.3333,6.3333,1.0,1.0
A3,multi_stage_kill_chain,15,0.0667,0.0889,0.0667,1305.8667,6805.6889,11.2,11.2,0.9667,1.0
A3,single_domain,12,0.1667,0.1236,0.1315,1181.8055,7019.9444,8.75,8.75,1.0,1.0
A4,benign,10,1.0,0.0,0.0,0,0,6,3,1.0,0.5
A4,ephemeral,10,1.0,0.32,0.4833,0,0,7.8,5.8,1.0,0.7436
A4,low_and_slow,12,1.0,0.3611,0.525,0,0,6.3333,4.3333,1.0,0.6842
A4,multi_stage_kill_chain,15,0.9111,0.6022,0.7237,0,0,11.2,9.1333,0.9667,0.8155
A4,single_domain,12,1.0,0.3291,0.4917,0,0,8.75,6.75,1.0,0.7714
