arm,true_ttp,n,exact_pct,parent_pct,not_detected_pct,top_wrong
A1,T1046,150,0.0,0.0,0.2,"[('T1485', 120)]"
A1,T1078.004,21,0.0,0.0,0.048,"[('T1485', 5), ('T1098.001', 4), ('T1110', 3)]"
A1,T1098,18,0.0,0.0,0.0,"[('T1580', 4), ('T1562.001', 3), ('T1595', 2)]"
A1,T1098.001,18,0.0,0.0,0.056,"[('T1485', 7), ('T1562.001', 3), ('T1548.005', 2)]"
A1,T1110,54,0.0,0.0,0.222,"[('T1078', 13), ('T1098.001', 11), ('T1562.001', 6)]"
A1,T1190,9,0.0,0.0,0.0,"[('T1562.001', 3), ('T1537', 2), ('T1537.005', 1)]"
A1,T1485,72,0.0,0.0,0.0,"[('T1562.008', 32), ('T1595', 24), ('T1562.001', 16)]"
A1,T1496,12,0.0,0.0,0.667,"[('T1595.001', 2), ('T1548.005', 1), ('T1562.008', 1)]"
A1,T1526,24,0.0,0.0,0.0,"[('T1078', 5), ('T1562.008', 5), ('T1578', 4)]"
A1,T1528,18,0.0,0.0,0.0,"[('T1485', 10), ('T1548.005', 3), ('T1530', 2)]"
A1,T1530,147,0.0,0.0,0.082,"[('T1580', 42), ('T1562.008', 42), ('T1595', 18)]"
A1,T1537,39,0.0,0.051,0.103,"[('T1562.008', 26), ('T1580', 3), ('T1595', 2)]"
A1,T1548.005,15,0.0,0.0,0.0,"[('T1110', 6), ('T1595', 3), ('T1562.001', 2)]"
A1,T1552.005,12,0.0,0.0,0.0,"[('T1485', 5), ('T1098.001', 2), ('T1580', 1)]"
A1,T1562.008,15,0.0,0.133,0.4,"[('T1578', 2), ('T1526', 1), ('T1580', 1)]"
A1,T1571,36,0.0,0.0,0.333,"[('T1580', 16), ('T1528.001', 5), ('T1562.008', 3)]"
A1,T1578,15,0.067,0.067,0.0,"[('T1485', 4), ('T1562.001', 2), ('T1562.008', 2)]"
A1,T1580,18,0.167,0.167,0.0,"[('T1078', 5), ('T1571', 3), ('T1110', 2)]"
A2,T1046,150,0.0,0.0,0.347,"[('T1528', 50), ('T1497', 15), ('T1485', 10)]"
A2,T1078.004,21,0.0,0.095,0.143,"[('T1485', 5), ('T1526', 3), ('T1571', 2)]"
A2,T1098,18,0.0,0.0,0.0,"[('T1580', 6), ('T1190', 6), ('T1548.005', 2)]"
A2,T1098.001,18,0.0,0.0,0.0,"[('T1190', 5), ('T1485', 3), ('T1110', 3)]"
A2,T1110,54,0.111,0.111,0.074,"[('T1485', 24), ('T1562.001', 8), ('T1526', 6)]"
A2,T1190,9,0.111,0.111,0.0,"[('T1562.001', 2), ('T1078', 2), ('T1537.001', 1)]"
A2,T1485,72,0.0,0.0,0.097,"[('T1578', 16), ('T1580', 16), ('T1537', 8)]"
A2,T1496,12,0.167,0.167,0.083,"[('T1485', 2), ('T1562.008', 2), ('T1578', 1)]"
A2,T1526,24,0.0,0.0,0.042,"[('T1078', 6), ('T1562.008', 4), ('T1537', 3)]"
A2,T1528,18,0.0,0.0,0.0,"[('T1485', 6), ('T1548.005', 5), ('T1562.008', 3)]"
A2,T1530,147,0.0,0.0,0.599,"[('T1580', 13), ('T1562.001', 9), ('T1578.001', 8)]"
A2,T1537,39,0.0,0.0,0.077,"[('T1578', 8), ('T1485', 7), ('T1562.001', 5)]"
A2,T1548.005,15,0.0,0.0,0.0,"[('T1110', 6), ('T1562.001', 3), ('T1562.008', 3)]"
A2,T1552.005,12,0.0,0.0,0.0,"[('T1485', 5), ('T1098.001', 2), ('T1046', 1)]"
A2,T1562.008,15,0.067,0.133,0.6,"[('T1578', 3), ('T1580', 1)]"
A2,T1571,36,0.111,0.111,0.083,"[('T1210', 9), ('T1078', 4), ('T1098.001', 4)]"
A2,T1578,15,0.133,0.133,0.0,"[('T1562.008', 3), ('T1562.001', 2), ('T1485', 2)]"
A2,T1580,18,0.0,0.0,0.444,"[('T1046', 2), ('T1190', 2), ('T1562.001', 2)]"
A3,T1046,150,0.0,0.0,0.327,"[('T1210', 35), ('T1485', 16), ('T1078.004', 15)]"
A3,T1078.004,21,0.0,0.048,0.19,"[('T1098.001', 5), ('T1526', 3), ('T1485', 3)]"
A3,T1098,18,0.0,0.0,0.0,"[('T1580', 6), ('T1190', 5), ('T1595', 4)]"
A3,T1098.001,18,0.0,0.0,0.0,"[('T1485', 8), ('T1548.005', 3), ('T1190', 3)]"
A3,T1110,54,0.0,0.0,0.074,"[('T1485', 24), ('T1496', 12), ('T1562.001', 8)]"
A3,T1190,9,0.0,0.0,0.0,"[('T1562.001', 3), ('T1537', 1), ('T1485', 1)]"
A3,T1485,72,0.0,0.0,0.208,"[('T1578', 16), ('T1528', 16), ('T1595', 9)]"
A3,T1496,12,0.0,0.0,0.5,"[('T1537', 1), ('T1537.005', 1), ('T1595', 1)]"
A3,T1526,24,0.0,0.0,0.25,"[('T1046', 3), ('T1078', 3), ('T1578', 3)]"
A3,T1528,18,0.0,0.0,0.0,"[('T1548.005', 6), ('T1562.008', 3), ('T1578.001', 2)]"
A3,T1530,147,0.0,0.0,0.571,"[('T1562.001', 14), ('T1098.001', 9), ('T1578.001', 8)]"
A3,T1537,39,0.026,0.026,0.026,"[('T1578', 9), ('T1485', 8), ('T1562.001', 6)]"
A3,T1548.005,15,0.0,0.0,0.0,"[('T1110', 4), ('T1190', 3), ('T1562.008', 2)]"
A3,T1552.005,12,0.0,0.0,0.167,"[('T1485', 5), ('T1098.001', 3), ('T1528', 1)]"
A3,T1562.008,15,0.0,0.0,0.533,"[('T1578', 3), ('T1578.001', 1), ('T1580', 1)]"
A3,T1571,36,0.0,0.0,0.083,"[('T1078', 8), ('T1210', 5), ('T1562.001', 4)]"
A3,T1578,15,0.2,0.2,0.0,"[('T1595', 5), ('T1537', 2), ('T1580', 2)]"
A3,T1580,18,0.056,0.056,0.389,"[('T1110', 4), ('T1571', 2), ('T1046', 2)]"
A4,T1046,150,1.0,1.0,0.0,[]
A4,T1078.004,21,1.0,1.0,0.0,[]
A4,T1098,18,1.0,1.0,0.0,[]
A4,T1098.001,18,1.0,1.0,0.0,[]
A4,T1110,54,1.0,1.0,0.0,[]
A4,T1190,9,1.0,1.0,0.0,[]
A4,T1485,72,1.0,1.0,0.0,[]
A4,T1496,12,0.0,0.0,0.0,"[('T1578', 12)]"
A4,T1526,24,1.0,1.0,0.0,[]
A4,T1528,18,1.0,1.0,0.0,[]
A4,T1530,147,1.0,1.0,0.0,[]
A4,T1537,39,0.923,0.923,0.077,[]
A4,T1548.005,15,1.0,1.0,0.0,[]
A4,T1552.005,12,1.0,1.0,0.0,[]
A4,T1562.008,15,1.0,1.0,0.0,[]
A4,T1571,36,1.0,1.0,0.0,[]
A4,T1578,15,1.0,1.0,0.0,[]
A4,T1580,18,0.0,0.0,0.0,"[('T1526', 18)]"
