arm,category,model_version,environment,n_scenarios,recall,precision,f1,token_cost,latency_ms,prefilter_in,prefilter_out,prefilter_recall,filtering_ratio
A1,benign,qwen2.5:7b,real_aws,10,1.0,0.0667,0.0667,808.2667,4805.8,4,3,1.0,0.75
A1,ephemeral,qwen2.5:7b,real_aws,10,0.0,0.0,0.0,1476.6667,6563.6667,7.8,6.8,1.0,0.8718
A1,low_and_slow,qwen2.5:7b,real_aws,12,0.0,0.0,0.0,1124.3611,5493.3056,6.3333,5.3333,1.0,0.8421
A1,multi_stage_kill_chain,qwen2.5:7b,real_aws,15,0.0241,0.0204,0.0216,1782.2445,7246.2667,11.2,10.1333,0.9667,0.9048
A1,single_domain,qwen2.5:7b,real_aws,12,0.0,0.0,0.0,1446.75,5792.9167,8.75,7.75,1.0,0.8857
A2,benign,qwen2.5:7b,real_aws,10,1.0,0.0,0.0,550.0,2601.0,4,3,1.0,0.75
A2,ephemeral,qwen2.5:7b,real_aws,10,0.0667,0.05,0.0556,1043.3,2920.4667,7.8,6.8,1.0,0.8718
A2,low_and_slow,qwen2.5:7b,real_aws,12,0.0555,0.0555,0.0555,801.9722,2773.1389,6.3333,5.3333,1.0,0.8421
A2,multi_stage_kill_chain,qwen2.5:7b,real_aws,15,0.0296,0.0278,0.0286,1313.1333,3314.0222,11.2,10.1333,0.9667,0.9048
A2,single_domain,qwen2.5:7b,real_aws,12,0.0,0.0,0.0,1141.8056,3220.2778,8.75,7.75,1.0,0.8857
A3,benign,qwen2.5:7b,real_aws,10,1.0,0.1333,0.1333,619.4,2549.9,4,4,1.0,1.0
A3,ephemeral,qwen2.5:7b,real_aws,10,0.0333,0.0333,0.0333,1131.6667,3005.1333,7.8,7.8,1.0,1.0
A3,low_and_slow,qwen2.5:7b,real_aws,12,0.0555,0.0278,0.037,871.6667,2720.3056,6.3333,6.3333,1.0,1.0
A3,multi_stage_kill_chain,qwen2.5:7b,real_aws,15,0.0167,0.0156,0.0161,1380.5778,3200.7555,11.2,11.2,0.9667,1.0
A3,single_domain,qwen2.5:7b,real_aws,12,0.0278,0.0694,0.0185,1219.8611,3236.8056,8.75,8.75,1.0,1.0
A4,benign,qwen2.5:7b,real_aws,10,1.0,0.0,0.0,0,0,4,3,1.0,0.75
A4,ephemeral,qwen2.5:7b,real_aws,10,0.8,0.2083,0.33,0,0,7.8,6.8,1.0,0.8718
A4,low_and_slow,qwen2.5:7b,real_aws,12,1.0,0.2694,0.4226,0,0,6.3333,5.3333,1.0,0.8421
A4,multi_stage_kill_chain,qwen2.5:7b,real_aws,15,0.8667,0.4738,0.6121,0,0,11.2,10.1333,0.9667,0.9048
A4,single_domain,qwen2.5:7b,real_aws,12,1.0,0.2569,0.4083,0,0,8.75,7.75,1.0,0.8857
