arm,category,event_recall,event_precision
A1,multi-stage,0.894,0.815
A1,low-and-slow,0.917,0.448
A1,ephemeral,0.933,0.404
A1,single-domain,0.833,0.501
A1,benign,,0.0
A2,multi-stage,0.762,0.952
A2,low-and-slow,0.932,0.646
A2,ephemeral,0.867,0.489
A2,single-domain,0.889,0.632
A2,benign,,0.0
A3,multi-stage,0.816,1.0
A3,low-and-slow,0.988,0.648
A3,ephemeral,0.892,0.492
A3,single-domain,0.966,0.621
A3,benign,,0.0
A4,multi-stage,0.967,0.649
A4,low-and-slow,1.0,0.374
A4,ephemeral,1.0,0.361
A4,single-domain,1.0,0.452
A4,benign,,0.0
