arm,category,tokens,latency_ms,filtering_ratio,prefilter_recall
A1,multi-stage,1814.0,12767.0,0.905,0.967
A1,low-and-slow,1188.0,9558.0,0.842,1.0
A1,ephemeral,1577.0,12560.0,0.872,1.0
A1,single-domain,1602.0,13186.0,0.886,1.0
A1,benign,944.0,9778.0,0.75,1.0
A2,multi-stage,1314.0,6569.0,0.905,0.967
A2,low-and-slow,836.0,5425.0,0.842,1.0
A2,ephemeral,1128.0,7464.0,0.872,1.0
A2,single-domain,1225.0,8499.0,0.886,1.0
A2,benign,609.0,5364.0,0.75,1.0
A3,multi-stage,1393.0,6420.0,1.0,0.967
A3,low-and-slow,906.0,5248.0,1.0,1.0
A3,ephemeral,1184.0,6952.0,1.0,1.0
A3,single-domain,1268.0,7559.0,1.0,1.0
A3,benign,703.0,5875.0,1.0,1.0
A4,multi-stage,0.0,0.0,0.905,0.967
A4,low-and-slow,0.0,0.0,0.842,1.0
A4,ephemeral,0.0,0.0,0.872,1.0
A4,single-domain,0.0,0.0,0.886,1.0
A4,benign,0.0,0.0,0.75,1.0
