arm,category,model_version,environment,n_scenarios,recall,precision,f1,token_cost,latency_ms,prefilter_in,prefilter_out,prefilter_recall,filtering_ratio
A1,benign,qwen2.5:32b-instruct-q4_k_m,real_aws,10,1.0,0.0,0.0,944.1,9777.6333,4,3,1.0,0.75
A1,ephemeral,qwen2.5:32b-instruct-q4_k_m,real_aws,10,0.0,0.0,0.0,1576.8,12560.5,7.8,6.8,1.0,0.8718
A1,low_and_slow,qwen2.5:32b-instruct-q4_k_m,real_aws,12,0.1389,0.0556,0.0778,1187.8611,9557.9167,6.3333,5.3333,1.0,0.8421
A1,multi_stage_kill_chain,qwen2.5:32b-instruct-q4_k_m,real_aws,15,0.0704,0.0663,0.0678,1814.2667,12767.0222,11.2,10.1333,0.9667,0.9048
A1,single_domain,qwen2.5:32b-instruct-q4_k_m,real_aws,12,0.1667,0.0648,0.0917,1601.6944,13185.6667,8.75,7.75,1.0,0.8857
A2,benign,qwen2.5:32b-instruct-q4_k_m,real_aws,10,1.0,0.0667,0.0667,608.6667,5364.3667,4,3,1.0,0.75
A2,ephemeral,qwen2.5:32b-instruct-q4_k_m,real_aws,10,0.0,0.0667,0.0,1127.8667,7464.3667,7.8,6.8,1.0,0.8718
A2,low_and_slow,qwen2.5:32b-instruct-q4_k_m,real_aws,12,0.1944,0.1782,0.1407,836.1667,5424.8889,6.3333,5.3333,1.0,0.8421
A2,multi_stage_kill_chain,qwen2.5:32b-instruct-q4_k_m,real_aws,15,0.0352,0.0389,0.0368,1313.8889,6569.1778,11.2,10.1333,0.9667,0.9048
A2,single_domain,qwen2.5:32b-instruct-q4_k_m,real_aws,12,0.1667,0.2292,0.1315,1225.3889,8498.9445,8.75,7.75,1.0,0.8857
A3,benign,qwen2.5:32b-instruct-q4_k_m,real_aws,10,1.0,0.0333,0.0333,703.3,5874.6333,4,4,1.0,1.0
A3,ephemeral,qwen2.5:32b-instruct-q4_k_m,real_aws,10,0.0,0.0,0.0,1184.3,6951.6333,7.8,7.8,1.0,1.0
A3,low_and_slow,qwen2.5:32b-instruct-q4_k_m,real_aws,12,0.1667,0.1157,0.1296,906.1389,5248.1389,6.3333,6.3333,1.0,1.0
A3,multi_stage_kill_chain,qwen2.5:32b-instruct-q4_k_m,real_aws,15,0.0796,0.113,0.0902,1393.2222,6420.3333,11.2,11.2,0.9667,1.0
A3,single_domain,qwen2.5:32b-instruct-q4_k_m,real_aws,12,0.1389,0.1306,0.1111,1267.7778,7558.8889,8.75,8.75,1.0,1.0
A4,benign,qwen2.5:32b-instruct-q4_k_m,real_aws,10,1.0,0.0,0.0,0,0,4,3,1.0,0.75
A4,ephemeral,qwen2.5:32b-instruct-q4_k_m,real_aws,10,0.8,0.2083,0.33,0,0,7.8,6.8,1.0,0.8718
A4,low_and_slow,qwen2.5:32b-instruct-q4_k_m,real_aws,12,1.0,0.2694,0.4226,0,0,6.3333,5.3333,1.0,0.8421
A4,multi_stage_kill_chain,qwen2.5:32b-instruct-q4_k_m,real_aws,15,0.8667,0.4738,0.6121,0,0,11.2,10.1333,0.9667,0.9048
A4,single_domain,qwen2.5:32b-instruct-q4_k_m,real_aws,12,1.0,0.2569,0.4083,0,0,8.75,7.75,1.0,0.8857
