arm,category,n_scenarios,recall,precision,f1,token_cost,latency_ms,prefilter_in,prefilter_out,prefilter_recall,filtering_ratio
A1,benign,10,1.0,0.0,0.0,478.3,6366.8,6,3,1.0,0.5
A1,ephemeral,10,0.0,0.0667,0.0,964.6333,10008.3667,7.8,5.8,1.0,0.7436
A1,low_and_slow,12,0.0,0.0,0.0,685.6667,8102.8611,6.3333,4.3333,1.0,0.6842
A1,multi_stage_kill_chain,15,0.0222,0.0259,0.0238,1183.6445,10863.6445,11.2,9.1333,0.9667,0.8155
A1,single_domain,12,0.0,0.0,0.0,986.9167,9245.3611,8.75,6.75,1.0,0.7714
A2,benign,10,1.0,0.0333,0.0333,365.4333,3574.2333,6,3,1.0,0.5
A2,ephemeral,10,0.0,0.0,0.0,790.2333,5751.7,7.8,5.8,1.0,0.7436
A2,low_and_slow,12,0.0,0.0,0.0,532.8889,4437.3056,6.3333,4.3333,1.0,0.6842
A2,multi_stage_kill_chain,15,0.0167,0.0222,0.019,972.2444,5735.4,11.2,9.1333,0.9667,0.8155
A2,single_domain,12,0.0,0.0,0.0,864.9444,6159.9722,8.75,6.75,1.0,0.7714
A3,benign,10,1.0,0.0,0.0,620.5667,3468.6,6,6,1.0,1.0
A3,ephemeral,10,0.0,0.0667,0.0,946.2,5880.4667,7.8,7.8,1.0,1.0
A3,low_and_slow,12,0.0,0.0,0.0,688.3611,4524.5278,6.3333,6.3333,1.0,1.0
A3,multi_stage_kill_chain,15,0.0,0.0,0.0,1161.4,6704.0,11.2,11.2,0.9667,1.0
A3,single_domain,12,0.0,0.0,0.0,1017.0278,6199.9722,8.75,8.75,1.0,1.0
A4,benign,10,1.0,0.0,0.0,0,0,6,3,1.0,0.5
A4,ephemeral,10,1.0,0.32,0.4833,0,0,7.8,5.8,1.0,0.7436
A4,low_and_slow,12,1.0,0.3611,0.525,0,0,6.3333,4.3333,1.0,0.6842
A4,multi_stage_kill_chain,15,0.9111,0.6022,0.7237,0,0,11.2,9.1333,0.9667,0.8155
A4,single_domain,12,1.0,0.3291,0.4917,0,0,8.75,6.75,1.0,0.7714
